code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
002766,索菱股份,汽车配件,深圳,102.51,8814.2,18300.92,160221.98,108891.01,36474.26,42625.55,2.33,0.085,5.36,6.52,20150611
601611,中国核建,建筑施工,北京,172.02,52500.0,262500.0,5395929.5,0.0,0.0,0.0,0.0,0.034,2.91,8.13,20160606
002743,富煌钢构,钢加工,安徽,149.85,11108.0,24268.0,383289.97,308387.94,48129.62,24640.92,1.02,0.026,3.13,5.07,20150217
601015,陕西黑猫,焦炭加工,陕西,204.8,29600.0,62000.0,1024637.88,434802.44,373069.38,91719.95,1.48,0.017,4.03,3.39,20141105
002748,世龙实业,化工原料,江西,76.89,11548.5,24000.0,106877.15,43285.78,51534.57,45256.03,1.89,0.062,4.01,4.73,20150319
603909,合诚股份,建筑施工,福建,48.2,2500.0,10000.0,39842.75,27206.69,3721.93,1715.1,0.17,0.127,4.15,5.89,20160628
002656,摩登大道,服饰,广东,0.0,25610.0,32000.0,281839.16,121848.47,39586.5,53480.9,1.67,-0.033,3.73,4.22,20120228
600860,京城股份,专用机械,北京,0.0,32200.0,42200.0,198980.77,79329.71,96218.93,68380.31,1.62,-0.072,1.62,5.73,19940506
600409,三友化工,化工原料,河北,28.77,185038.55,185038.55,2007225.25,462560.41,1348045.0,236541.13,1.28,0.069,3.5,2.27,20030618
601106,中国一重,工程机械,黑龙江,0.0,653800.0,653800.0,3761622.5,2699535.25,620856.94,841514.81,1.29,-0.049,2.23,2.63,20100209
000048,康达尔,饲料,深圳,494.18,38198.01,39076.87,189099.72,110572.27,33614.46,4406.85,0.11,0.019,1.83,20.76,19941101
300516,久之洋,电器仪表,湖北,279.81,3000.0,12000.0,64108.78,46595.8,8556.03,2812.53,0.23,0.174,4.63,42.13,20160602
